customer_city,total_revenue,grand_total_revenue,percent_contribution,cummulative_sum
ponte nova,8306.49,16008872.12,0.0518867908853032,75.1812568667078
joao monlevade,8264.99,16008872.12,0.0516275596309779,75.2328844263388
viamao,8210.92,16008872.12,0.0512898094160052,75.2841742357548
varzea grande,8209.75,16008872.12,0.0512825009685941,75.3354567367234
vespasiano,8180.67,16008872.12,0.051100851694479,75.3865575884179
cubatao,8171.42,16008872.12,0.0510430712341776,75.4376006596521
patrocinio,8168.94,16008872.12,0.0510275798242806,75.4886282394763
tres rios,8153.95,16008872.12,0.0509339442459111,75.5395621837223
itaperuna,8081.54,16008872.12,0.0504816325561354,75.5900438162784
unai,8064.51,16008872.12,0.0503752540438183,75.6404190703222
sertaozinho,8003.77,16008872.12,0.0499958394320661,75.6904149097543
para de minas,7994.59,16008872.12,0.0499384962293021,75.7403534059836
registro,7979.69,16008872.12,0.049845422839195,75.7901988288228
paulo afonso,7976.52,16008872.12,0.0498256213192863,75.8400244501421
eunapolis,7916.78,16008872.12,0.0494524532437829,75.8894769033859
erechim,7883.78,16008872.12,0.0492463175475725,75.9387232209334
jaboticabal,7874.53,16008872.12,0.0491885370872711,75.9879117580207
peruibe,7865.63,16008872.12,0.0491329429146567,76.0370447009354
pirapora,7842.16,16008872.12,0.0489863367088974,76.0860310376442
lencois paulista,7820.7,16008872.12,0.0488522860409981,76.1348833236852
itapeva,7792.16,16008872.12,0.0486740098964573,76.1835573335817
sao mateus,7785.35,16008872.12,0.048631470984603,76.2321888045663
jacobina,7766.1,16008872.12,0.0485112251618136,76.2807000297281
cosmopolis,7751.95,16008872.12,0.048422836673893,76.329122866402
uba,7733.99,16008872.12,0.0483106488828646,76.3774335152849
arapongas,7663.43,16008872.12,0.0478698932851492,76.42530340857
andradina,7653.47,16008872.12,0.0478076777841111,76.4731110863541
paulista,7602.08,16008872.12,0.0474866682862852,76.5205977546404
itaguai,7537.0,16008872.12,0.0470801437072133,76.5676778983476
tupa,7519.8,16008872.12,0.0469727032837339,76.6146506016314
paracambi,7516.23,16008872.12,0.0469504031493257,76.6616010047807
navegantes,7500.85,16008872.12,0.0468543314218191,76.7084553362025
esteio,7466.14,16008872.12,0.0466375141486232,76.7550928503511
cruzeiro,7458.77,16008872.12,0.0465914771764696,76.8016843275276
alagoinhas,7428.33,16008872.12,0.0464013326130561,76.8480856601407
queimados,7380.4,16008872.12,0.046101936130651,76.8941875962713
santarem,7272.65,16008872.12,0.0454288718498427,76.9396164681211
sao miguel do oeste,7241.39,16008872.12,0.0452336051267052,76.9848500732479
concordia,7240.19,16008872.12,0.0452261092832066,77.0300761825311
itapema,7233.42,16008872.12,0.0451838202328023,77.0752600027639
osorio,7225.75,16008872.12,0.045135909299774,77.1203959120636
cachoeira do sul,7223.41,16008872.12,0.0451212924049518,77.1655172044686
mococa,7108.56,16008872.12,0.044403877716777,77.2099210821854
primavera do leste,7092.91,16008872.12,0.0443061194244832,77.2542272016099
caucaia,7092.72,16008872.12,0.0443049325825959,77.2985321341924
embu-guacu,7062.82,16008872.12,0.0441181611487568,77.3426502953412
guaxupe,6967.0,16008872.12,0.0435196180453967,77.3861699133866
rolandia,6955.9,16008872.12,0.043450281493035,77.4296201948796
curvelo,6946.28,16008872.12,0.0433901898143215,77.4730103846939
artur nogueira,6882.04,16008872.12,0.0429889123256986,77.5159992970196
ijui,6870.15,16008872.12,0.0429146410097003,77.5589139380293
sapucaia do sul,6868.66,16008872.12,0.0429053336706896,77.6018192717
ituiutaba,6867.95,16008872.12,0.042900898629953,77.64472017033
maracanau,6668.23,16008872.12,0.0416533404103424,77.6863735107403
olimpia,6642.18,16008872.12,0.0414906181410612,77.7278641288814
umuarama,6638.01,16008872.12,0.0414645700849037,77.7693286989663
lucas do rio verde,6627.81,16008872.12,0.0414008554151659,77.8107295543815
barra do pirai,6619.02,16008872.12,0.0413459483615389,77.852075502743
balsas,6607.73,16008872.12,0.04127542496729,77.8933509277103
vargem grande paulista,6595.93,16008872.12,0.0412017158395541,77.9345526435498
santo angelo,6578.63,16008872.12,0.0410936507624498,77.9756462943123
mossoro,6573.53,16008872.12,0.041061793427581,78.0167080877399
itumbiara,6570.67,16008872.12,0.0410439283339094,78.0577520160738
mafra,6551.24,16008872.12,0.0409225581345952,78.0986745742084
alfenas,6539.45,16008872.12,0.0408489114722218,78.1395234856806
taio,6475.8,16008872.12,0.0404513194399856,78.1799748051206
catalao,6440.92,16008872.12,0.0402334402556274,78.2202082453762
extrema,6436.51,16008872.12,0.0402058930307702,78.260414138407
valparaiso de goias,6424.51,16008872.12,0.0401309345957846,78.3005450730028
arraial do cabo,6409.31,16008872.12,0.0400359872448029,78.3405810602476
altamira,6399.82,16008872.12,0.0399767076158017,78.3805577678634
mirassol,6383.33,16008872.12,0.039873702233059,78.4204314700964
itabirito,6373.71,16008872.12,0.0398136105543456,78.4602450806508
itupeva,6323.22,16008872.12,0.0394982229391436,78.4997433035899
araucaria,6255.87,16008872.12,0.0390775187227868,78.5388208223127
mongagua,6232.17,16008872.12,0.0389294758136903,78.5777502981264
caldas novas,6204.57,16008872.12,0.0387570714132233,78.6165073695396
gurupi,6192.18,16008872.12,0.0386796768291007,78.6551870463687
sao bento do sul,6189.45,16008872.12,0.0386626237851415,78.6938496701539
batatais,6158.21,16008872.12,0.0384674819927289,78.7323171521466
adamantina,6154.09,16008872.12,0.0384417462633839,78.77075889841
santo antonio de padua,6152.73,16008872.12,0.0384332509740855,78.8091921493841
bebedouro,6141.75,16008872.12,0.0383646640060737,78.8475568133901
guaiba,6139.13,16008872.12,0.0383482980811018,78.8859051114712
formosa,6124.12,16008872.12,0.0382545375720073,78.9241596490432
jequie,6037.84,16008872.12,0.0377155864244607,78.9618752354677
uniao da vitoria,6037.75,16008872.12,0.0377150242361983,78.9995902597039
guanambi,6012.54,16008872.12,0.0375575490573661,79.0371478087613
arcos,5989.36,16008872.12,0.0374127543471189,79.0745605631084
sao jose do rio pardo,5971.05,16008872.12,0.0372983802684033,79.1118589433768
tucurui,5931.75,16008872.12,0.0370528913938254,79.1489118347706
campo novo do parecis,5915.78,16008872.12,0.0369531342099321,79.1858649689806
santa barbara,5889.97,16008872.12,0.0367919111093505,79.2226568800899
saquarema,5878.12,16008872.12,0.0367178896548022,79.2593747697447
pedro leopoldo,5875.05,16008872.12,0.0366987127885184,79.2960734825332
campo limpo paulista,5841.24,16008872.12,0.0364875173979465,79.3325609999312
mandaguari,5829.06,16008872.12,0.0364114345864361,79.3689724345176
bom despacho,5724.88,16008872.12,0.035760670440036,79.4047331049576
sao pedro da aldeia,5712.97,16008872.12,0.0356862741933128,79.440419379151
uruguaiana,5712.59,16008872.12,0.0356839005095382,79.4761032796605
rio do sul,5695.14,16008872.12,0.0355748984519966,79.5116781781125
cianorte,5691.55,16008872.12,0.0355524733868634,79.5472306514993
salinas,5691.16,16008872.12,0.0355500372377264,79.5827806887371
japeri,5682.83,16008872.12,0.0354980035907739,79.6182786923278
corumba,5671.02,16008872.12,0.0354242319976755,79.6537029243255
caceres,5668.56,16008872.12,0.0354088655185035,79.689111789844
montenegro,5643.51,16008872.12,0.035252389785471,79.7243641796295
capao da canoa,5634.34,16008872.12,0.0351951090480695,79.7595592886776
parauapebas,5634.15,16008872.12,0.0351939222061822,79.7947532108838
sao sebastiao do paraiso,5628.89,16008872.12,0.0351610654255136,79.8299142763093
tres coracoes,5628.39,16008872.12,0.0351579421573892,79.8650722184667
louveira,5615.73,16008872.12,0.0350788610084793,79.9001510794751
armacao dos buzios,5612.87,16008872.12,0.0350609959148078,79.9352120753899
luziania,5608.51,16008872.12,0.035033761016763,79.9702458364067
